 ,ID,X (pixels),Y (pixels),Radius (pixels),Score,nCircles,Resolution,Frame (slice #),Method,xT,yT,Speed,Theta,dTheta,speed (mean 4),Theta (mean 4),dTheta (mean 4),xC (mean 4),yC (mean 4),xT (mean 4),yT (mean 4)
1,1,86,144,16,1,1,100,1,Full,97.000,140.000,0.000,174.289,0.000,0.000,91.567,0.405,86.000,144.000,96.860,139.860
2,1,86,144,16,1,1,100,2,Local,97.000,140.000,0.000,-19.983,NaN,0.000,60.084,0.235,86.000,144.000,96.737,139.737
3,1,86,144,16,1,1,100,3,Local,97.000,140.000,0.000,-19.983,0.000,0.000,28.370,0.065,86.000,144.000,96.579,139.579
4,1,86,144,16,1,1,100,4,Local,96.000,139.000,0.000,-26.565,NaN,0.000,3.819,0.136,86.000,144.000,96.474,139.474
5,1,86,144,16,1,1,100,5,Local,96.000,139.000,0.000,-26.565,0.000,0.000,-14.031,-0.134,86.000,144.000,96.351,139.351
6,1,86,144,16,1,1,100,6,Local,96.000,139.000,0.000,-26.565,0.000,0.000,-24.833,-0.148,86.000,144.000,96.263,139.263
7,1,86,144,16,1,1,100,7,Local,96.000,139.000,0.000,-26.565,0.000,0.000,-25.179,-0.255,86.000,144.000,96.211,139.211
8,1,86,144,16,1,1,100,8,Local,97.000,140.000,0.000,-19.983,NaN,0.000,-25.526,-0.255,86.000,144.000,96.158,139.158
9,1,86,144,16,1,1,100,9,Local,96.000,139.000,0.000,-26.565,NaN,0.000,-25.179,0.255,86.000,144.000,96.211,139.211
10,1,86,144,16,1,1,100,10,Local,96.000,139.000,0.000,-26.565,0.000,0.000,-24.833,0.255,86.000,144.000,96.263,139.263
11,1,86,144,16,1,1,100,11,Local,96.000,139.000,0.000,-26.565,0.000,0.000,-24.256,0.425,86.000,144.000,96.351,139.351
12,1,86,144,16,1,1,100,12,Local,96.000,139.000,0.000,-26.565,0.000,0.000,-23.794,0.340,86.000,144.000,96.421,139.421
13,1,86,144,16,1,1,100,13,Local,97.000,140.000,0.000,-19.983,NaN,0.000,-23.678,0.085,86.000,144.000,96.439,139.439
14,1,86,144,16,1,1,100,14,Local,97.000,140.000,0.000,-19.983,0.000,0.000,-23.447,0.170,86.000,144.000,96.474,139.474
15,1,86,144,16,1,1,100,15,Local,97.000,140.000,0.000,-19.983,0.000,0.000,-23.332,0.085,86.000,144.000,96.491,139.491
16,1,86,144,16,1,1,100,16,Local,96.000,139.000,0.000,-26.565,NaN,0.000,-23.563,-0.170,86.000,144.000,96.456,139.456
17,1,86,144,16,1,1,100,17,Local,96.000,139.000,0.000,-26.565,0.000,0.000,-24.025,-0.340,86.000,144.000,96.386,139.386
18,1,86,144,16,1,1,100,18,Local,96.000,139.000,0.000,-26.565,0.000,0.000,-24.602,-0.425,86.000,144.000,96.298,139.298
19,1,86,144,16,1,1,100,19,Local,97.000,140.000,0.000,-19.983,NaN,0.000,-25.179,-0.425,86.000,144.000,96.211,139.211
20,1,86,144,16,1,1,100,20,Local,96.000,139.000,0.000,-26.565,NaN,0.000,-25.526,-0.255,86.000,144.000,96.158,139.158
21,1,86,144,16,1,1,100,21,Local,96.000,139.000,0.000,-26.565,0.000,0.000,-25.757,-0.170,86.000,144.000,96.123,139.123
22,1,86,144,16,1,1,100,22,Local,96.000,139.000,0.000,-26.565,0.000,0.000,-25.988,-0.170,86.000,144.000,96.088,139.088
23,1,86,144,16,1,1,100,23,Local,96.000,139.000,0.000,-26.565,0.000,0.000,-26.219,-0.170,86.000,144.000,96.053,139.053
24,1,86,144,16,1,1,100,24,Local,96.000,139.000,0.000,-26.565,0.000,0.000,-26.565,-0.255,86.000,144.000,96.000,139.000
25,1,86,144,16,1,1,100,25,Local,96.000,139.000,0.000,-26.565,0.000,0.000,-26.565,0.000,86.000,144.000,96.000,139.000
26,1,86,144,16,1,1,100,26,Local,96.000,139.000,0.000,-26.565,0.000,0.000,-26.565,0.000,86.000,144.000,96.000,139.000
27,1,86,144,16,1,1,100,27,Local,96.000,139.000,0.000,-26.565,0.000,0.000,-26.565,0.000,86.000,144.000,96.000,139.000
28,1,86,144,16,1,1,100,28,Local,96.000,139.000,0.000,-26.565,0.000,0.000,-26.565,0.000,86.000,144.000,96.000,139.000
29,1,86,144,16,1,1,100,29,Local,96.000,139.000,0.000,-26.565,0.000,0.053,-26.314,2.418,86.000,143.947,96.000,139.000
30,1,86,144,16,1,1,100,30,Local,96.000,139.000,0.000,-26.565,0.000,0.088,-25.896,4.030,86.000,143.860,96.000,139.000
31,1,86,144,16,1,1,100,31,Local,96.000,139.000,0.000,-26.565,0.000,0.123,-25.311,5.642,86.000,143.737,96.000,139.000
32,1,86,144,16,1,1,100,32,Local,96.000,139.000,0.000,-26.565,0.000,0.158,-24.559,7.254,86.000,143.579,96.000,139.000
33,1,86,143,16,1,1,100,33,Local,96.000,139.000,1.000,-21.801,NaN,0.158,-23.807,7.254,86.000,143.421,96.000,139.000
34,1,86,143,16,1,1,100,34,Local,96.000,139.000,0.000,-21.801,0.000,0.158,-23.055,7.254,86.000,143.263,96.000,139.000
35,1,86,143,16,1,1,100,35,Local,96.000,139.000,0.000,-21.801,0.000,0.123,-22.201,8.734,86.000,143.140,96.000,139.053
