 ,ID,X (pixels),Y (pixels),Radius (pixels),Score,nCircles,Resolution,Frame (slice #),Method,xT,yT,Speed,Theta,dTheta,speed (mean 4),Theta (mean 4),dTheta (mean 4),xC (mean 4),yC (mean 4),xT (mean 4),yT (mean 4)
1,1,259,170,16,1,1,100,1,Full,267.000,168.000,0.000,174.289,0.000,0.053,95.074,3.138,258.947,170.000,267.000,168.000
2,1,259,170,16,1,1,100,2,Local,267.000,168.000,0.000,-14.036,0.156,0.088,65.534,7.968,258.860,170.000,267.053,168.000
3,1,259,170,16,1,1,100,3,Local,267.000,168.000,0.000,-14.036,0.000,0.197,36.027,9.126,258.789,169.947,267.140,167.947
4,1,259,170,16,1,1,100,4,Local,267.000,168.000,0.000,-14.036,0.000,0.335,13.464,8.833,258.719,169.807,267.211,167.860
5,1,258,170,16,1,1,100,5,Local,267.000,168.000,1.000,-12.529,NaN,0.472,-2.259,9.330,258.684,169.544,267.333,167.684
6,1,258,170,16,1,1,100,6,Local,268.000,168.000,0.000,-11.310,NaN,0.592,-11.201,7.299,258.684,169.175,267.456,167.439
7,1,259,169,16,1,1,100,7,Local,268.000,167.000,1.414,-12.529,NaN,0.744,-10.107,2.947,258.825,168.684,267.632,167.105
8,1,259,168,17,1,1,100,8,Local,267.000,167.000,1.000,-7.125,NaN,0.897,-9.110,-0.965,259.123,168.070,267.895,166.649
9,1,259,167,16,1,1,100,9,Local,268.000,166.000,1.000,-6.340,NaN,0.993,-8.151,-2.348,259.526,167.368,268.246,166.105
10,1,259,167,16,1,1,100,10,Local,268.000,166.000,0.000,-6.340,0.000,1.019,-7.461,-3.886,260.053,166.632,268.702,165.491
11,1,261,166,16,1,1,100,11,Local,269.000,165.000,2.236,-7.125,NaN,1.037,-6.983,-3.230,260.579,165.877,269.175,164.825
12,1,262,165,16,1,1,100,12,Local,270.000,164.000,1.414,-7.125,0.000,1.015,-6.629,1.100,261.053,165.228,269.684,164.228
13,1,262,164,16,1,1,100,13,Local,271.000,163.000,1.000,-6.340,NaN,0.919,-6.560,3.462,261.456,164.702,270.175,163.702
14,1,262,164,16,1,1,100,14,Local,271.000,163.000,0.000,-6.340,0.000,0.808,-6.505,2.770,261.754,164.298,270.544,163.298
15,1,262,163,16,1,1,100,15,Local,271.000,162.000,1.000,-6.340,0.000,0.733,-6.417,4.576,261.947,163.982,270.860,162.982
16,1,262,164,16,1,1,100,16,Local,271.000,163.000,1.000,-6.340,0.000,0.566,-6.293,6.472,262.000,163.754,271.088,162.754
17,1,262,164,16,1,1,100,17,Local,271.000,163.000,0.000,-6.340,0.000,0.509,-5.874,4.657,262.000,163.561,271.211,162.614
18,1,262,164,16,1,1,100,18,Local,271.000,163.000,0.000,-6.340,0.000,0.456,-5.274,2.694,262.000,163.351,271.281,162.491
19,1,262,163,16,1,1,100,19,Local,272.000,162.000,1.000,-5.711,NaN,0.474,-4.473,1.605,262.000,163.053,271.316,162.316
20,1,262,163,16,1,1,100,20,Local,272.000,162.000,0.000,-5.711,0.000,0.561,-3.806,0.344,262.000,162.596,271.316,161.965
21,1,262,162,16,1,1,100,21,Local,271.000,162.000,1.000,0.000,NaN,0.653,-3.049,-0.803,262.053,161.965,271.333,161.456
22,1,262,162,16,1,1,100,22,Local,271.000,162.000,0.000,0.000,0.000,0.826,-1.981,-1.835,262.140,161.175,271.351,160.842
23,1,262,161,16,1,1,100,23,Local,271.000,161.000,1.000,0.000,0.000,0.911,-0.913,-1.835,262.263,160.316,271.404,160.158
24,1,262,159,16,1,1,100,24,Local,271.000,158.000,2.000,-6.340,NaN,0.960,0.367,-2.322,262.474,159.474,271.526,159.526
25,1,263,158,16,1,1,100,25,Local,272.000,158.000,1.414,0.000,NaN,0.960,1.335,-1.290,262.719,158.667,271.719,158.877
26,1,263,157,16,0.990,1,100,26,Local,272.000,158.000,1.000,6.340,NaN,0.837,2.336,0.515,263.000,158.018,272.000,158.386
27,1,263,157,16,0.990,1,100,27,Local,272.000,158.000,0.000,6.340,0.000,0.770,3.304,-1.290,263.228,157.509,272.281,158.035
28,1,264,157,16,1,1,100,28,Local,273.000,158.000,1.000,6.340,0.000,0.650,4.060,-0.803,263.439,157.193,272.526,157.842
29,1,264,157,16,1,1,100,29,Local,273.000,157.000,0.000,0.000,NaN,0.531,4.928,-0.746,263.614,157.053,272.737,157.842
30,1,264,157,16,1,1,100,30,Local,273.000,158.000,0.000,6.340,NaN,0.456,5.240,-1.032,263.702,157.000,272.860,157.842
31,1,263,157,16,0.990,1,100,31,Local,273.000,158.000,1.000,5.711,NaN,0.404,5.128,-0.057,263.789,157.000,272.947,157.825
32,1,264,157,16,1,1,100,32,Local,273.000,158.000,1.000,6.340,NaN,0.421,5.128,0.000,263.842,156.947,273.000,157.772
33,1,264,157,16,1,1,100,33,Local,273.000,158.000,0.000,6.340,0.000,0.368,5.151,1.204,263.877,156.860,273.000,157.684
34,1,264,157,16,1,1,100,34,Local,273.000,158.000,0.000,6.340,0.000,0.333,5.325,3.338,263.912,156.737,272.947,157.579
35,1,264,157,16,1,1,100,35,Local,273.000,157.000,0.000,0.000,NaN,0.351,5.375,2.589,263.895,156.579,272.860,157.421
36,1,264,156,16,1,1,100,36,Local,273.000,157.000,1.000,6.340,NaN,0.351,5.477,5.268,263.912,156.421,272.737,157.263
37,1,264,156,16,1,1,100,37,Local,273.000,157.000,0.000,6.340,0.000,0.421,5.754,2.884,263.877,156.211,272.632,157.088
38,1,264,156,16,1,1,100,38,Local,272.000,157.000,0.000,7.125,NaN,0.544,5.671,1.328,263.842,156.053,272.561,156.912
39,1,263,156,16,1,1,100,39,Local,272.000,157.000,1.000,6.340,NaN,0.614,5.364,1.213,263.842,155.930,272.526,156.737
40,1,264,156,16,1,1,100,40,Local,272.000,157.000,1.000,7.125,NaN,0.702,5.226,-1.442,263.842,155.789,272.561,156.579
41,1,264,155,16,0.990,1,100,41,Local,273.000,156.000,1.000,6.340,NaN,0.737,4.753,-1.614,263.825,155.702,272.579,156.421
42,1,264,156,17,1,1,100,42,Local,273.000,156.000,1.000,0.000,NaN,0.789,4.517,-0.807,263.825,155.579,272.596,156.263
43,1,264,156,17,1,1,100,43,Local,273.000,156.000,0.000,0.000,0.000,0.842,5.224,0.739,263.825,155.404,272.596,156.193
44,1,264,155,16,1,1,100,44,Local,273.000,156.000,1.000,6.340,NaN,0.789,6.350,4.820,263.842,155.193,272.526,156.140
45,1,263,155,16,1,1,100,45,Local,272.000,156.000,1.000,6.340,0.000,0.737,7.876,3.015,263.842,154.947,272.474,156.123
46,1,264,155,16,1,1,100,46,Local,272.000,156.000,1.000,7.125,NaN,0.649,9.307,3.802,263.842,154.719,272.404,156.105
47,1,264,154,16,1,1,100,47,Local,272.000,157.000,1.000,20.556,NaN,0.526,10.317,0.176,263.877,154.474,272.456,156.018
